timestamp,dpid,bytes_per_sec,packets_per_sec,duration_avg,flow_count,byte_total,packet_total,label
2026-05-13 16:12:22,2,664824566.8,16887.4,1469.0,1,116916879192,6335004,3
2026-05-13 16:12:22,3,664811534.8,16887.4,1469.0,1,116914792422,6334979,3
2026-05-13 16:12:22,4,664811460.4,16886.2,1469.0,1,116914792512,6334980,3
2026-05-13 16:12:27,1,676005272.4,16404.2,1474.0,1,120295405620,6417006,3
2026-05-13 16:12:27,2,675959094.0,16402.2,1474.0,1,120296674662,6417015,3
2026-05-13 16:12:27,3,676122573.6,16404.4,1474.0,1,120295405290,6417001,3
2026-05-13 16:12:27,4,738419856.8,17933.2,1474.0,1,120606891796,6424646,3
2026-05-13 16:12:32,1,754714620.0,17587.2,1479.0,1,124068978720,6504942,3
2026-05-13 16:12:32,2,754486888.8,17585.6,1479.0,1,124069109106,6504943,3
2026-05-13 16:12:32,3,754466827.2,17584.4,1479.0,1,124067739426,6504923,3
2026-05-13 16:12:32,4,692169552.4,16055.8,1479.0,1,124067739558,6504925,3
2026-05-13 16:12:37,1,667957892.8,16637.2,1484.0,1,127408768184,6588128,3
2026-05-13 16:12:37,2,668134035.6,16638.2,1484.0,1,127409779284,6588134,3
2026-05-13 16:12:37,3,668120977.2,16637.8,1484.0,1,127408344312,6588112,3
2026-05-13 16:12:37,4,668121016.8,16638.4,1484.0,1,127408344642,6588117,3
2026-05-13 16:12:42,1,685020147.6,16743.0,1489.0,1,130833868922,6671843,3
2026-05-13 16:12:42,2,684817927.6,16741.8,1489.0,1,130833868922,6671843,3
2026-05-13 16:12:42,3,685104922.0,16746.2,1489.0,1,130833868922,6671843,3
2026-05-13 16:12:42,4,685104856.0,16745.2,1489.0,1,130833868922,6671843,3
